,order_id,tip
17,2196797,
34,1827621,
64,2461523,
156,2614670,
175,3110252,
261,2803975,
273,1864787,
279,2906490,
290,2924697,
358,1750084,
366,3088145,
457,13318,
512,2989905,
523,2639013,
548,2757217,
578,3038639,
612,3294399,
625,2178718,
633,3081445,
654,2222431,
726,1318796,
744,926418,
750,2364180,
754,2549875,
781,3032922,
786,2759030,
793,878518,
832,2733614,
857,2887138,
883,3001617,
965,2560500,
985,1993128,
993,242208,
1034,673776,
1141,3294802,
1154,2133144,
1181,2564128,
1188,1500681,
1219,1505214,
1253,1308123,
1312,1458129,
1333,739987,
1341,2780124,
1400,1447810,
1500,3176785,
1505,2708761,
1600,1789152,
1650,180627,
1654,2041929,
1663,2499603,
1822,1016866,
1891,142062,
1908,2008056,
1954,1056167,
1963,1162736,
2009,1905437,
2082,3411419,
2117,3529,
2174,1374681,
2198,405264,
2205,208213,
2209,1979266,
2280,540284,
2341,2600069,
2441,988,
2541,2956359,
2546,3072356,
2585,1054904,
2697,3012300,
2703,2560537,
2716,3174585,
2751,1430705,
2770,1989223,
2779,2376514,
2799,2942881,
2808,174574,
2817,1910258,
2841,2328904,
2903,2950974,
2990,1392440,
3065,1449813,
3117,2608193,
3127,539212,
3180,488785,
3185,484245,
3199,1101383,
3228,2029736,
3290,113754,
3315,1439514,
3370,2769206,
3402,683205,
3535,2000464,
3542,417305,
3554,1739738,
3559,3054083,
3572,1039817,
3582,659655,
3694,863691,
3701,188500,
3729,1011563,
3828,2831272,
3858,2101076,
3895,2346527,
3900,2569637,
3955,2337367,
3966,1074772,
3979,1820107,
4011,451330,
4046,2019153,
4098,3125190,
4104,2101825,
4108,1609767,
4113,1232929,
4121,2150770,
4162,1859940,
4170,102931,
4178,2372949,
4184,3733,
4195,339577,
4209,531078,
4237,192822,
4249,2725594,
4344,1017699,
4356,3298943,
4360,2125060,
4394,2081127,
4398,2342041,
4495,428232,
4505,1224638,
4551,78051,
4750,1408873,
4886,812040,
4891,2376860,
4946,1696391,
5110,3327840,
5114,1063245,
5120,2451495,
5129,3002915,
5139,261370,
5146,2127707,
5152,1307498,
5158,2357159,
5163,67479,
5171,944659,
5200,251996,
5260,1738759,
5312,1378817,
5348,1436723,
5352,553676,
5357,1167274,
5393,1556053,
5427,2667408,
5453,49291,
5615,90628,
5620,1515554,
5644,2227916,
5666,2513420,
5688,2558109,
5717,1941111,
5839,1786829,
5849,2626310,
5853,917873,
5861,2943041,
5898,2802645,
5921,1537934,
5959,2436377,
6003,1241668,
6033,1114234,
6086,92317,
6170,3415312,
6217,83856,
6256,1652829,
6342,1963578,
6396,2144171,
6410,1088647,
6415,1534424,
6472,718132,
6494,1305670,
6510,509989,
6523,3271309,
6529,1393688,
6540,1880459,
6548,1196150,
6572,979263,
6576,374322,
6612,2742119,
6616,1148045,
6620,2435106,
6637,914910,
6660,1832849,
6670,2314737,
6684,127522,
6948,1288850,
6965,1441412,
7019,2555679,
7070,96292,
7091,2753827,
7095,395208,
7106,637980,
7115,1392921,
7180,1940438,
7200,1389513,
7212,1504831,
7218,2987108,
7389,2614856,
7505,221711,
7553,2143665,
7585,2042218,
7594,2573243,
7610,1453822,
7614,2216237,
7648,443227,
7664,2330932,
7708,1860271,
7744,2406692,
7812,1510345,
7831,300459,
7847,1438109,
7944,393494,
7957,2717227,
7965,1922310,
7992,604625,
7997,526858,
8038,327915,
8067,2065685,
8091,364097,
8100,1461756,
8130,1663465,
8180,2916351,
8188,1678834,
8199,3367947,
8211,249702,
8250,1263386,
8254,3392152,
8258,2237430,
8274,1725556,
8332,1476764,
8351,401928,
8367,1489846,
8377,796337,
8456,169422,
8462,3251213,
8476,2479253,
8516,1123114,
8525,1289473,
8543,472417,
8547,723753,
8558,580476,
8566,2597017,
8570,3025307,
8696,1345715,
8740,2085640,
8802,3335299,
8813,1410397,
8822,1503135,
8870,3250346,
8885,2652449,
8899,3094816,
8924,164257,
8951,2561233,
8961,1896032,
9126,3171516,
9133,935344,
9208,27339,
9214,1142716,
9227,1704859,
9276,46340,
9298,1630533,
9328,2416865,
9332,3077618,
9339,1269882,
9369,1855656,
9395,1779225,
9421,3067161,
9429,2871086,
9522,2973176,
9602,2034042,
9661,633569,
9669,2277161,
9688,3288985,
9707,2074271,
9730,1377327,
9854,2609167,
10022,1927184,
10057,3031079,
10120,2912252,
10144,1308481,
10237,1549331,
10296,3202796,
10322,1090155,
10330,1300165,
10344,764206,
10377,1634309,
10412,1995260,
10467,2493959,
10595,220180,
10625,1339827,
10654,6695,
10707,779069,
10757,2669429,
10866,317537,
11011,1829993,
11015,186342,
11019,1758197,
11086,268712,
11158,1246879,
11182,3401644,
11200,2491974,
11204,376933,
11278,3050274,
11290,1639235,
11294,3383671,
11324,608020,
11337,2065616,
11344,3237574,
11352,1223773,
11368,1082244,
11389,1631034,
11395,2903282,
11409,500855,
11415,1174747,
11425,76113,
11573,822491,
11604,960700,
11622,2721390,
11632,3194255,
11732,2107602,
11742,2834777,
11751,1298513,
11755,2760304,
11822,101843,
11870,1867462,
11878,163679,
11921,2640820,
12031,894711,
12043,3218537,
12075,3289681,
12126,2359414,
12132,44208,
12173,1687224,
12190,3276317,
12248,3335689,
12346,30739,
12407,773433,
12464,3303655,
12473,3390062,
12478,1357889,
12484,407451,
12544,1507357,
12548,1533428,
12556,1728833,
12590,2362492,
12604,791162,
12657,3217286,
12661,2545099,
12756,2077487,
12762,1351660,
12857,2519194,
12895,2853765,
12915,2486302,
12919,524333,
12980,3002092,
13019,178541,
13077,1564802,
13301,374806,
13338,1979738,
13351,1086428,
13392,332488,
13401,893162,
13405,1332864,
13459,846154,
13475,1279598,
13490,1911114,
13518,1773153,
13525,183932,
13622,1100193,
13663,3379094,
13763,1696468,
13768,2102995,
13778,1440983,
13806,1250869,
13863,2992254,
13870,221742,
13874,2545948,
13944,3236785,
13953,1625859,
14016,1435886,
14058,126793,
14115,2713679,
14165,1336754,
14213,2619232,
14237,718466,
14264,3137173,
14271,1067531,
14306,2658681,
14311,1315069,
14411,2009712,
14447,901415,
14465,129926,
14486,28696,
14529,1312596,
14535,1254380,
14550,3023704,
14560,1907607,
14567,659909,
14639,1769739,
14677,3331469,
14690,1188813,
14750,3107093,
14794,501582,
14866,134419,
14891,2990314,
14901,872361,
14906,374606,
14922,2868479,
14929,2474551,
14942,812023,
14946,776848,
14973,1008627,
15043,1376142,
15051,1289521,
15143,214187,
15147,179504,
15169,911951,
15196,1177246,
15252,1490598,
15320,2065398,
15335,1529138,
15339,2018860,
15427,2766487,
15431,783074,
15524,1836043,
15538,2734758,
